x,y
22.90161,0.39549
22.95331,0.38701
23.00501,0.37783
23.0567,0.36784
23.1084,0.35702
23.1601,0.34535
23.21179,0.33288
23.26349,0.3197
23.31519,0.30591
23.36688,0.29167
23.41858,0.27713
23.47028,0.26249
23.52197,0.24793
23.57367,0.2336
23.62537,0.21969
23.67706,0.20631
23.72876,0.19359
23.78046,0.1816
23.83215,0.1704
23.88385,0.16002
23.93555,0.15044
23.98724,0.14167
24.03894,0.13365
24.09064,0.12634
24.14233,0.11969
24.19403,0.11364
24.24573,0.10815
24.29742,0.10314
24.34912,0.09858
24.40082,0.09442
24.45251,0.09061
24.50421,0.08713
24.55591,0.08394
24.6076,0.081
24.6593,0.07831
24.711,0.07582
24.76269,0.07352
24.81439,0.07139
24.86609,0.06941
24.91778,0.06757
24.96948,0.06585
25.02118,0.06425
25.07287,0.06276
25.12457,0.06136
25.17627,0.06005
25.22796,0.05884
25.27966,0.0577
25.33136,0.05665
25.38305,0.05566
25.43475,0.05475
25.48645,0.0539
25.53814,0.0531
25.58984,0.05234
25.64154,0.05163
25.69323,0.05094
25.74493,0.05028
25.79663,0.04963
25.84832,0.04899
25.90002,0.04835
25.95172,0.04771
26.00341,0.04706
26.05511,0.04641
26.10681,0.04575
26.1585,0.04508
26.2102,0.04441
26.2619,0.04374
26.31359,0.04306
26.36529,0.04238
26.41699,0.04171
26.46868,0.04104
26.52038,0.04037
26.57208,0.03971
26.62377,0.03905
26.67547,0.03839
26.72717,0.03774
26.77886,0.03709
26.83056,0.03643
26.88226,0.03578
26.93395,0.03513
26.98565,0.03447
27.03735,0.03382
27.08904,0.03316
27.14074,0.0325
27.19244,0.03185
27.24413,0.03119
27.29583,0.03055
27.34753,0.02992
27.39922,0.02929
27.45092,0.02869
27.50262,0.0281
27.55431,0.02752
27.60601,0.02697
27.65771,0.02643
27.7094,0.02592
27.7611,0.02543
27.8128,0.02496
27.86449,0.02451
27.91619,0.02409
27.96789,0.02368
28.01958,0.02329
28.07128,0.02292
28.12298,0.02257
28.17467,0.02224
28.22637,0.02193
28.27807,0.02163
28.32976,0.02135
28.38146,0.02109
28.43316,0.02084
28.48485,0.0206
28.53655,0.02037
28.58825,0.02016
28.63994,0.01995
28.69164,0.01975
28.74334,0.01956
28.79503,0.01937
28.84673,0.01918
28.89843,0.01899
28.95012,0.0188
29.00182,0.01861
29.05352,0.01842
29.10521,0.01823
29.15691,0.01803
29.20861,0.01784
29.2603,0.01764
29.312,0.01745
29.3637,0.01727
29.41539,0.01709
29.46709,0.01691
29.51879,0.01674
29.57048,0.01658
29.62218,0.01642
29.67388,0.01627
29.72557,0.01612
29.77727,0.01598
29.82897,0.01583
29.88066,0.01568
29.93236,0.01554
29.98406,0.01538
30.03575,0.01523
30.08745,0.01507
30.13915,0.0149
30.19084,0.01473
30.24254,0.01456
30.29424,0.01439
30.34593,0.01421
30.39763,0.01403
30.44933,0.01386
30.50102,0.01368
30.55272,0.01351
30.60442,0.01334
30.65611,0.01318
30.70781,0.01302
30.7595,0.01287
30.8112,0.01272
30.8629,0.01259
30.91459,0.01246
30.96629,0.01234
