x,y
28.58825,0.01333
28.63994,0.01324
28.69164,0.01316
28.74334,0.01309
28.79503,0.01302
28.84673,0.01296
28.89843,0.0129
28.95012,0.01285
29.00182,0.01279
29.05352,0.01274
29.10521,0.01269
29.15691,0.01265
29.20861,0.0126
29.2603,0.01255
29.312,0.01251
29.3637,0.01246
29.41539,0.01242
29.46709,0.01238
29.51879,0.01233
29.57048,0.01229
29.62218,0.01225
29.67388,0.01221
29.72557,0.01217
29.77727,0.01213
29.82897,0.01209
29.88066,0.01204
29.93236,0.012
29.98406,0.01196
30.03575,0.01192
